#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 22948 0.268991 -20.3386 -1.55744
2384 23137 0.176903 -20.6049 -1.42396
2384 23140 -0.16251 -20.9116 -1.48124
2384 23352 -0.163978 -21.3004 -1.5016
2384 23547 -0.601488 -20.8743 -1.51979
2384 23572 -0.0292565 -20.7536 -1.28587
2384 23624 -0.175599 -20.3696 -1.40085
2384 24724 -0.584879 -21.0976 -1.317
2384 24769 -0.752552 -20.3727 -1.47335
2384 24956 0.670787 -20.0767 -1.48956
2384 25002 0.0354573 -21.2831 -1.54761
2384 25220 0.147696 -20.0726 -1.48641
2384 25310 0.3246 -20.6331 -1.67503
2384 25387 0.437506 -20.2625 -1.52044
2384 25742 -0.0429726 -20.2364 -1.5891
2384 26025 -0.264718 -20.2208 -1.59825
2384 26128 -0.325586 -20.4324 -1.50749
2384 27177 -0.221889 -20.9897 -1.45118
2384 27714 -0.611409 -20.4279 -1.52012
2384 29048 -0.284601 -20.4003 -1.37831
2384 29142 -0.1896 -20.6375 -1.55479
2384 29299 -0.0828647 -20.0368 -1.49125
2384 29405 -0.400164 -20.3029 -1.60179
2384 29815 -0.415126 -20.2878 -1.64038
2384 29825 0.206661 -20.2615 -1.61832
2384 30155 0.15088 -20.4281 -1.36567
2384 30593 -0.524166 -20.5213 -1.33128
2384 30867 0.17548 -19.8019 -1.39378
2384 30926 -0.151953 -20.0833 -1.57809
2384 31283 0.0886149 -20.9989 -1.50204
2384 31750 -0.0721809 -20.5498 -1.53136
2384 31754 -0.16238 -20.6178 -1.4397
2384 31940 -0.357576 -21.0266 -1.38692
2384 31999 -0.500477 -20.8559 -1.69825
2384 32155 0.130589 -20.3211 -1.57068
2384 32593 0.52194 -21.1723 -1.48444
2384 33357 -0.304207 -20.9731 -1.40305
2384 33668 -0.221827 -20.6498 -1.53188
2384 34157 -0.510656 -20.9401 -1.56481
2384 34159 0.1678 -20.7917 -1.42654
2384 34167 -0.0384744 -20.1914 -1.60838
2384 34315 -0.0733889 -21.444 -1.3897
2384 34876 -0.163565 -21.1246 -1.33029
2384 35061 0.0255311 -20.3258 -1.35494
2384 35730 0.0434395 -20.6945 -1.46086
2384 36510 -0.0961469 -21.4669 -1.33817
2384 36650 -0.152895 -20.3662 -1.41072
2384 37396 -0.0988883 -20.0786 -1.60411
2384 37441 0.76872 -21.2246 -1.41765
2384 37795 0.130303 -20.2884 -1.45404
2384 38143 0.00231944 -20.4688 -1.38041
2384 38752 -0.377056 -20.6391 -1.58092
2384 39714 0.305772 -20.6784 -1.37145
2384 39757 0.175923 -21.0898 -1.51904
2384 39911 -0.0595065 -20.6303 -1.58198
2384 40289 -0.111252 -20.4998 -1.45868
2384 40393 -0.0995892 -20.4127 -1.50743
2384 40832 -0.2112 -20.0014 -1.56421
2384 41941 -0.420981 -20.6759 -1.46254
2384 42198 -0.358813 -20.342 -1.41117
2384 43021 -0.0306543 -20.1033 -1.41569
2384 43661 0.0518485 -20.2156 -1.26519
2384 43688 -0.193783 -20.2055 -1.42722
2384 45067 0.207204 -20.5732 -1.50453
2384 45076 0.197128 -20.4218 -1.67368
